arc,total_chapters,total_pages,manga_percentage,total_episodes,anime_percentage,anime_name
Romance Dawn Arc,7,178,0.9%,3,0.3%,One Piece
Orange Town Arc,14,273,1.4%,5,0.5%,One Piece
Syrup Village Arc,20,396,2.0%,10,1.0%,One Piece
Baratie Arc,27,514,2.6%,12,1.2%,One Piece
Arlong Park Arc,27,514,2.6%,15,1.5%,One Piece
Buggy Side Story Arc,0,0,0.0%,2,0.2%,One Piece
Loguetown Arc,5,100,0.5%,6,0.6%,One Piece
Warship Island Arc,0,0,0.0%,8,0.8%,One Piece
Reverse Mountain Arc,5,96,0.5%,2,0.2%,One Piece
Whiskey Peak Arc,9,169,0.9%,4,0.4%,One Piece
Koby and Helmeppo Arc,0,0,0.0%,2,0.2%,One Piece
Little Garden Arc,15,288,1.5%,8,0.8%,One Piece
Drum Island Arc,25,477,2.5%,14,1.4%,One Piece
Alabasta Arc,63,1199,6.2%,39,3.8%,One Piece
Post-Alabasta Arc,0,0,0.0%,5,0.5%,One Piece
Goat Island Arc,0,0,0.0%,3,0.3%,One Piece
Ruluka Island Arc,0,0,0.0%,5,0.5%,One Piece
Jaya Arc,19,361,1.9%,9,0.9%,One Piece
Skypiea Arc,66,1242,6.4%,43,4.2%,One Piece
G-8 Arc,0,0,0.0%,11,1.1%,One Piece
Long Ring Long Land Arc,19,365,1.9%,15,1.5%,One Piece
Ocean's Dream Arc,0,0,0.0%,5,0.5%,One Piece
Foxy's Return Arc,0,0,0.0%,2,0.2%,One Piece
Water 7 Arc,53,1009,5.2%,35,3.4%,One Piece
Enies Lobby Arc,56,1060,5.4%,49,4.8%,One Piece
Post-Enies Lobby Arc,11,209,1.1%,13,1.3%,One Piece
Ice Hunter Arc,0,0,0.0%,11,1.1%,One Piece
Thriller Bark Arc,48,912,4.7%,45,4.4%,One Piece
Spa Island Arc,0,0,0.0%,3,0.3%,One Piece
Sabaody Archipelago Arc,24,456,2.3%,21,2.0%,One Piece
Special Historical Arc,0,0,0.0%,2,0.2%,One Piece
Amazon Lily Arc,11,209,1.1%,14,1.4%,One Piece
Impel Down Arc,25,473,2.4%,31,3.0%,One Piece
Little East Blue Arc,0,0,0.0%,4,0.4%,One Piece
Marineford Arc,31,529,2.7%,33,3.2%,One Piece
Post-War Arc,17,317,1.6%,27,2.6%,One Piece
Return to Sabaody Arc,5,98,0.5%,6,0.6%,One Piece
Fishman Island Arc,51,933,4.8%,52,5.1%,One Piece
Z's Ambition Arc,0,0,0.0%,4,0.4%,One Piece
Punk Hazard Arc,46,856,4.4%,47,4.6%,One Piece
Caesar Retrieval Arc,0,0,0.0%,3,0.3%,One Piece
Dressrosa Arc,102,1830,9.4%,118,11.5%,One Piece
Silver Mine Arc,0,0,0.0%,4,0.4%,One Piece
Zou Arc,23,397,2.0%,29,2.8%,One Piece
Marine Rookie Arc,0,0,0.0%,3,0.3%,One Piece
Whole Cake Island Arc,78,1349,6.9%,95,9.2%,One Piece
Levely Arc,6,100,0.5%,12,1.2%,One Piece
Wano Country Arc: Act 1,16,278,1.4%,26,2.5%,One Piece
Cidre Guild Arc,0,0,0.0%,2,0.2%,One Piece
Wano Country Arc: Act 2,33,560,2.9%,41,4.0%,One Piece
Wano Country Arc: Act 3,99,1709,8.8%,70,6.8%,One Piece
Prologue — Land of Waves Arc,33,627,4.6%,19,2.6%,Naruto
Chūnin Exams Arc,82,1558,11.5%,48,6.7%,Naruto
Konoha Crush Arc,23,437,3.2%,13,1.8%,Naruto
Search for Tsunade Arc,33,627,4.6%,20,2.8%,Naruto
Land of Tea Escort Mission Arc,0,0,0.0%,6,0.8%,Naruto
Sasuke Recovery Mission Arc,67,1273,9.4%,29,4.0%,Naruto
Filler Arcs Arc,0,0,0.0%,85,11.8%,Naruto
Kakashi Gaiden Arc,6,114,0.8%,0,0.0%,Naruto
Special,1,19,0.1%,17,2.4%,Naruto
Kazekage Rescue Mission Arc,37,703,5.2%,32,4.4%,Naruto
Tenchi Bridge Reconnaissance Mission Arc,29,551,4.1%,21,2.9%,Naruto
Twelve Guardian Ninja Arc,0,0,0.0%,18,2.5%,Naruto
