num_episode,year_launch,rate,votes,airdate
1,2007,8.2,728,2007-02-15
2,2007,8.0,575,2007-02-15
3,2007,8.0,508,2007-02-22
4,2007,8.2,517,2007-03-01
5,2007,8.2,486,2007-03-15
6,2007,8.2,480,2007-03-29
7,2007,7.8,457,2007-03-29
8,2007,7.7,437,2007-04-12
9,2007,7.6,434,2007-04-12
10,2007,7.5,424,2007-04-19
11,2007,7.7,425,2007-04-26
12,2007,7.9,425,2007-05-03
13,2007,8.1,432,2007-05-10
14,2007,8.3,452,2007-05-17
15,2007,8.4,447,2007-05-24
16,2007,7.6,403,2007-05-31
17,2007,7.8,405,2007-06-07
18,2007,7.7,407,2007-06-21
19,2007,7.8,399,2007-07-05
20,2007,8.1,427,2007-07-19
21,2007,8.1,421,2007-07-26
22,2007,7.9,413,2007-08-02
23,2007,7.9,410,2007-08-02
24,2007,8.1,418,2007-08-09
25,2007,7.9,414,2007-08-16
26,2007,8.4,656,2007-08-23
27,2007,8.5,474,2007-08-30
28,2007,7.1,367,2007-09-13
29,2007,8.1,402,2007-09-27
30,2007,8.4,439,2007-09-27
31,2007,8.5,675,2007-10-18
32,2007,7.9,405,2007-10-25
33,2007,7.7,374,2007-11-08
34,2007,7.2,362,2007-11-15
35,2007,7.3,364,2007-11-22
36,2007,7.2,362,2007-11-29
37,2007,7.1,361,2007-11-29
38,2007,7.1,360,2007-12-06
39,2007,7.8,379,2007-12-13
40,2007,7.7,393,2007-12-20
41,2007,8.0,395,2007-12-20
42,2008,8.5,459,2008-01-10
43,2008,7.9,380,2008-01-17
44,2008,7.4,354,2008-01-24
45,2008,7.3,346,2008-01-31
46,2008,7.3,347,2008-02-07
47,2008,7.4,348,2008-02-14
48,2008,7.2,355,2008-02-28
49,2008,7.5,360,2008-03-06
50,2008,7.3,345,2008-03-13
51,2008,7.5,358,2008-03-20
52,2008,8.0,384,2008-03-20
53,2008,7.5,364,2008-04-03
54,2008,7.5,362,2008-04-03
55,2008,7.9,363,2008-04-17
56,2008,7.6,346,2008-04-24
57,2008,6.9,269,2008-05-08
58,2008,6.6,267,2008-05-08
59,2008,6.5,262,2008-05-15
60,2008,6.7,256,2008-05-22
61,2008,6.7,259,2008-05-29
62,2008,6.5,256,2008-06-05
63,2008,6.6,253,2008-06-19
64,2008,6.6,250,2008-07-03
65,2008,6.9,249,2008-07-03
66,2008,6.7,250,2008-07-10
67,2008,6.8,247,2008-07-24
68,2008,6.7,247,2008-07-31
69,2008,6.6,251,2008-07-31
70,2008,6.6,253,2008-08-07
71,2008,6.6,265,2008-08-14
72,2008,7.3,335,2008-08-21
73,2008,7.7,360,2008-08-28
74,2008,7.5,340,2008-09-04
75,2008,7.4,334,2008-09-11
76,2008,7.7,348,2008-09-25
77,2008,8.3,382,2008-09-25
78,2008,8.6,501,2008-10-02
79,2008,8.6,482,2008-10-02
80,2008,8.5,634,2008-10-16
81,2008,8.1,372,2008-10-23
82,2008,8.6,569,2008-10-30
83,2008,8.3,377,2008-11-06
84,2008,8.5,427,2008-11-13
85,2008,8.4,518,2008-11-20
86,2008,8.4,589,2008-12-04
87,2008,8.6,730,2008-12-04
88,2008,8.4,617,2008-12-11
89,2008,7.7,344,2008-12-18
90,2008,6.9,287,2008-12-25
91,2009,7.0,260,2009-01-08
92,2009,6.7,256,2009-01-15
93,2009,6.5,253,2009-01-22
94,2009,6.4,245,2009-01-29
95,2009,6.4,246,2009-02-05
96,2009,6.6,239,2009-02-12
97,2009,6.8,240,2009-02-19
98,2009,6.8,239,2009-02-26
99,2009,6.8,244,2009-03-05
100,2009,6.5,241,2009-03-12
101,2009,6.4,239,2009-03-26
102,2009,6.4,240,2009-03-26
103,2009,6.7,240,2009-04-09
104,2009,6.8,237,2009-04-09
105,2009,6.4,241,2009-04-16
106,2009,6.6,239,2009-04-23
107,2009,6.5,236,2009-04-30
108,2009,6.4,237,2009-05-07
109,2009,6.3,235,2009-05-14
110,2009,6.6,238,2009-05-21
111,2009,6.7,241,2009-05-28
112,2009,6.9,251,2009-06-04
113,2009,7.8,350,2009-06-11
114,2009,8.2,367,2009-06-18
115,2009,7.4,323,2009-06-25
116,2009,7.2,313,2009-07-02
117,2009,7.3,309,2009-07-09
118,2009,7.2,311,2009-07-23
119,2009,8.4,661,2009-07-30
