episode,start,total_votes,average_rating
1,1999,647,7.6
2,1999,473,7.8
3,1999,428,7.7
4,1999,449,8.1
5,1999,370,7.5
6,1999,364,7.7
7,1999,344,7.7
8,1999,335,7.7
9,2000,327,7.3
10,2000,314,7.5
11,2000,310,7.4
12,2000,303,7.8
13,2000,295,7.8
14,2000,292,7.7
15,2000,286,7.5
16,2000,286,7.7
17,2000,296,8.1
18,2000,278,7.1
19,2000,324,8.5
20,2000,279,7.7
21,2000,267,7.6
22,2000,260,7.6
23,2000,257,7.7
24,2000,340,8.7
25,2000,256,7.6
26,2000,274,8.2
27,2000,257,7.6
28,2000,252,7.7
29,2000,249,7.8
30,2000,268,8.1
31,2000,237,7.6
32,2000,236,7.7
33,2000,255,7.8
34,2000,250,7.4
35,2000,254,7.9
36,2000,277,8.3
37,2000,324,8.5
38,2000,254,8.2
39,2000,249,8.0
40,2000,248,8.0
41,2000,249,8.0
42,2000,247,7.9
43,2000,281,8.2
44,2000,245,7.7
45,2000,235,7.6
46,2000,245,6.3
47,2000,249,6.3
48,2000,241,7.8
49,2000,253,7.9
50,2000,233,7.3
51,2000,225,6.8
52,2000,236,8.1
53,2001,243,8.2
54,2001,213,7.1
55,2001,211,6.8
56,2001,210,6.7
57,2001,207,6.6
58,2001,201,6.8
59,2001,199,7.1
60,2001,195,7.2
61,2001,199,7.6
62,2001,215,7.7
63,2001,216,7.4
64,2001,206,7.7
65,2001,214,8.1
66,2001,214,7.9
67,2001,203,7.7
68,2001,205,6.7
69,2001,202,6.8
70,2001,203,7.3
71,2001,204,7.5
72,2001,202,7.3
73,2001,200,7.4
74,2001,202,7.5
75,2001,197,7.7
76,2001,203,7.6
77,2001,200,7.5
78,2001,203,7.3
79,2001,196,7.6
80,2001,195,7.7
81,2001,189,7.7
82,2001,191,7.6
83,2001,200,7.7
84,2001,200,7.7
85,2001,211,8.1
86,2001,251,8.6
87,2001,194,7.9
88,2001,193,7.7
89,2001,190,7.7
90,2001,211,8.3
91,2001,193,7.9
92,2001,193,7.6
93,2001,192,7.2
94,2001,217,8.4
95,2002,209,8.1
96,2002,195,7.3
97,2002,189,7.4
98,2002,185,7.2
99,2002,180,7.1
100,2002,181,7.6
101,2002,177,6.8
102,2002,168,7.1
103,2002,179,7.5
104,2002,180,7.9
105,2002,175,7.9
106,2002,181,8.1
107,2002,175,7.9
108,2002,180,8.1
109,2002,187,8.2
110,2002,206,8.4
111,2002,182,7.8
112,2002,188,8.0
113,2002,181,7.8
114,2002,182,7.9
115,2002,189,8.0
116,2002,176,7.9
117,2002,181,8.0
118,2002,176,7.9
119,2002,213,8.5
120,2002,177,7.9
121,2002,182,8.2
